gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000104979.8,C19orf53,-0.806190662072487,5.509012877287873e-12,down
ENSG00000187867.8,PALM3,0.83185429212106,9.429163636767447e-6,up
ENSG00000072071.16,ADGRL1,0.7782649814138296,0.013602460183275983,up
ENSG00000171954.12,CYP4F22,1.0376492668090014,0.024825536085121176,up
ENSG00000167461.11,RAB8A,-0.5343784978235044,4.89380721628737e-7,down
ENSG00000196684.12,HSH2D,0.6383607616029822,0.08571577271993921,up
ENSG00000130312.6,MRPL34,-0.5890996938850684,0.005504352974142549,down
ENSG00000130299.16,GTPBP3,-0.6602793532943232,0.009937024783085986,down
ENSG00000130475.14,FCHO1,1.0766558371592054,2.443037651835851e-4,up
ENSG00000179913.10,B3GNT3,0.6439977357590739,0.011822933408544197,up
ENSG00000273654.1,CTB-52I2.4,2.3903414896696593,0.052360389927393065,up
ENSG00000105647.16,PIK3R2,0.9494490749533716,0.028455786429321245,up
ENSG00000130520.10,LSM4,0.5185493822111631,0.0018696542878090963,up
ENSG00000130513.6,GDF15,-1.3706451013672796,5.077639152557399e-22,down
ENSG00000221983.7,UBA52,-0.6654249746688339,5.611152879392985e-17,down
ENSG00000105669.13,COPE,0.5227184239958607,2.1313797838674607e-5,up
ENSG00000064489.22,BORCS8-MEF2B,-0.6611930835068855,0.005810497344546344,down
ENSG00000105705.15,SUGP1,0.5426525580001967,0.022717499460360786,up
ENSG00000258674.5,CTC-260F20.3,-0.7677869011400014,9.968167894383451e-6,down
ENSG00000196081.9,ZNF724,-1.1618945207889166,2.105738860167381e-4,down
ENSG00000105171.9,POP4,-0.5431992234220797,6.520308756842219e-4,down
ENSG00000131941.7,RHPN2,-0.9492601030042331,1.3608214696709478e-11,down
ENSG00000186017.14,ZNF566,-0.5983032889708325,0.03582265704261709,down
ENSG00000254004.6,ZNF260,-1.0697313632658565,1.6205040993382254e-5,down
ENSG00000128016.5,ZFP36,-0.7091296740273968,0.03665950443525981,down
ENSG00000105221.16,AKT2,0.5114445427944941,0.0086378388238253,up
ENSG00000090013.9,BLVRB,0.8271838884505754,5.670653328439105e-10,up
ENSG00000086548.8,CEACAM6,0.5689256587482859,0.004960388112439882,up
ENSG00000105372.6,RPS19,-0.6873445652408677,7.499867836279184e-11,down
ENSG00000105723.11,GSK3A,-0.6179493484243964,0.015344827192312843,down
ENSG00000105427.9,CNFN,1.0188695138882107,0.0537310545569953,up
ENSG00000073050.11,XRCC1,0.864675865828642,1.9853929844508122e-4,up
ENSG00000104783.11,KCNN4,0.9987663483966875,4.367526803154733e-4,up
ENSG00000130208.9,APOC1,0.9796671561215198,0.013163880005307391,up
ENSG00000104856.13,RELB,-1.077516776745156,0.0020820299297253605,down
ENSG00000104892.16,KLC3,0.8690120474663996,0.04055683272278497,up
ENSG00000090372.14,STRN4,-0.5524272922069101,3.319903538333988e-5,down
ENSG00000130748.6,TMEM160,-0.9696817530358484,3.2346908605195777e-4,down
ENSG00000134830.5,C5AR2,0.5934371017651072,0.012008719295641153,up
ENSG00000142227.10,EMP3,1.5988422333466152,0.0416503405781935,up
ENSG00000087074.7,PPP1R15A,-0.5419233346263267,0.09261170257865546,down
ENSG00000104872.10,PIH1D1,-0.506572108095862,3.753486166166839e-5,down
ENSG00000142541.16,RPL13A,-0.9472843926991775,2.1825574930418942e-21,down
ENSG00000142534.6,RPS11,-0.6279314370946624,7.756842456581837e-13,down
ENSG00000169136.10,ATF5,-1.399013489740315,3.140047134599691e-4,down
ENSG00000167747.13,C19orf48,-1.850023231931031,7.641012982350515e-25,down
ENSG00000167755.14,KLK6,0.5826484448153398,0.0019563660798161842,up
ENSG00000241015.2,TPM3P9,0.9723666557986014,2.8042970290158026e-4,up
ENSG00000170889.13,RPS9,-0.730480930174091,6.655547250797451e-13,down
ENSG00000131037.14,EPS8L1,1.2911399759089395,0.010356841432338598,up
ENSG00000105063.18,PPP6R1,0.6760201727640618,1.5162101317571977e-6,up
ENSG00000256060.2,TRAPPC2B,0.6163319478114723,0.07021381124034631,up
ENSG00000130725.7,UBE2M,-0.633119541148764,1.6192786804385728e-4,down
ENSG00000132670.20,PTPRA,0.5265492319407183,0.023381001815878908,up
ENSG00000088812.17,ATRN,-0.5058424290820558,0.003555782996057042,down
ENSG00000101236.16,RNF24,0.5506093270305799,0.08201498898584086,up
ENSG00000088826.17,SMOX,-0.7433660508469127,0.009382982166410862,down
ENSG00000232388.4,LINC00493,-0.5576444776434589,0.0026092215134806388,down
ENSG00000188559.13,RALGAPA2,0.9185672737027143,0.004733495990170982,up
ENSG00000178726.6,THBD,-1.0931619859107955,2.8649426042034266e-5,down
ENSG00000100994.11,PYGB,0.5662696353433531,1.2308480363141196e-4,up
ENSG00000149531.15,FRG1BP,1.2739089209267924,0.02031747560733747,up
ENSG00000125977.6,EIF2S2,-0.9111005567419437,2.2176149695237866e-17,down
ENSG00000236456.1,RP4-785G19.2,-0.6260773260035113,0.08159009290305827,down
ENSG00000261582.1,RP4-614O4.11,-0.791669254425491,1.4606244692888562e-13,down
ENSG00000214078.12,CPNE1,0.522613221521584,9.749681448009132e-4,up
ENSG00000260032.1,NORAD,-1.0692637922523016,1.2979255405310366e-4,down
ENSG00000196756.11,SNHG17,-0.7512008086278431,0.008179213963658023,down
ENSG00000101098.12,RIMS4,0.7241916372877426,0.00366758375472943,up
ENSG00000124155.17,PIGT,-0.7462228720520098,5.133469911368446e-6,down
ENSG00000175063.16,UBE2C,-0.7212311230579548,8.45160070760685e-8,down
ENSG00000197496.5,SLC2A10,0.6374848760465602,0.024333698169880947,up
ENSG00000101040.19,ZMYND8,0.859189449273483,3.802828451147958e-9,up
ENSG00000177410.12,ZFAS1,-1.9096897537853477,2.507658503578305e-21,down
ENSG00000274760.1,ZNFX1-AS1_2,-1.0424318728467057,4.8559531619146826e-11,down
ENSG00000158480.10,SPATA2,1.0926440427159232,3.7627195265588e-5,up
ENSG00000269103.2,Metazoa_SRP,-9.263940512212761,8.222141141596948e-8,down
ENSG00000124208.16,TMEM189-UBE2V1,7.924619831465493,4.4577300118533264e-7,up
ENSG00000124171.8,PARD6B,-0.9081802200498825,4.5867878898479924e-33,down
ENSG00000054793.13,ATP9A,0.5070377695948697,2.422680752099984e-5,up
ENSG00000171940.13,ZNF217,-0.7765636832301384,1.0546456478308527e-31,down
ENSG00000124225.15,PMEPA1,0.6383424387507524,4.509541531105434e-6,up
ENSG00000124209.3,RAB22A,0.5779354484795618,3.4178828183893347e-4,up
ENSG00000215440.11,NPEPL1,0.5062615488025703,4.325090929403135e-4,up
ENSG00000130703.15,OSBPL2,0.5353832678994208,0.0019385245486298664,up
ENSG00000130702.15,LAMA5,-0.5941545746680347,7.947127749937643e-4,down
ENSG00000092758.15,COL9A3,1.1946504486074285,0.016548470505978543,up
ENSG00000101150.17,TPD52L2,0.7705511004869408,5.714597629629969e-11,up
ENSG00000101161.7,PRPF6,0.5239056234612779,0.05012252206130771,up
ENSG00000280071.3,CH507-9B2.3,-1.3442594339377159,0.0015356754436461886,down
ENSG00000235277.1,AF127577.8,0.9425087871377813,0.04993735971903412,up
ENSG00000156299.13,TIAM1,0.8114843830771302,0.004056123764009612,up
ENSG00000142188.16,TMEM50B,0.8680082124227658,0.0016168522029713912,up
ENSG00000159228.12,CBR1,0.5570816108633345,2.6597422045792923e-5,up
ENSG00000157557.11,ETS2,-0.7400133035941345,3.8068368702750496e-5,down
ENSG00000185658.13,BRWD1,-0.5110272087038565,1.1431103650149281e-4,down
ENSG00000183036.10,PCP4,-0.7463939610398826,0.043922370952588566,down
ENSG00000173276.13,ZBTB21,-1.1029759062561157,3.065527378743811e-7,down
ENSG00000160182.2,TFF1,-0.7994809391146336,6.430620039293094e-16,down
ENSG00000160191.17,PDE9A,0.502257729076301,0.0980749625714942,up
ENSG00000142178.7,SIK1,6.628128941761234,1.315083389995907e-4,up
ENSG00000160209.18,PDXK,0.5913683539287666,1.9665821822396963e-12,up
ENSG00000241945.7,PWP2,0.6418374454028625,0.08723208260525923,up
ENSG00000160310.17,PRMT2,0.5729582709751309,7.115837708371568e-4,up
ENSG00000015475.18,BID,0.6674879637443879,1.441312403421235e-6,up
ENSG00000099977.13,DDT,-0.7206091870212943,1.1441869664419015e-5,down
ENSG00000099991.17,CABIN1,0.6654213177250529,0.002190566284651942,up
ENSG00000100219.16,XBP1,-0.6433453165187364,5.742276338594178e-10,down
ENSG00000186575.17,NF2,1.2484907877537414,1.0684419870164817e-10,up
ENSG00000128342.4,LIF,-1.6739919526696583,0.005776342369470226,down
ENSG00000248751.6,RP1-130H16.18,-0.9279802670924892,0.03787964034392868,down
ENSG00000184792.15,OSBP2,0.67164869729779,0.04695123017246569,up
ENSG00000100297.15,MCM5,0.5811965630016149,0.0027196719173313054,up
ENSG00000198125.12,MB,0.5597912157358004,0.05310215425946429,up
ENSG00000100353.17,EIF3D,3.096708262161259,8.644364345674381e-44,up
ENSG00000100106.19,TRIOBP,0.6144959286853093,0.004107292930437081,up
ENSG00000100139.13,MICALL1,0.5763529090333607,0.005624960140466794,up
ENSG00000100142.14,POLR2F,0.6392486477646329,0.005372553066610052,up
ENSG00000100216.5,TOMM22,-0.5177956843877055,2.7338830333879495e-6,down
ENSG00000100316.15,RPL3,-0.6043467865473796,3.372027355914483e-11,down
ENSG00000100387.8,RBX1,-0.556304468557519,3.418015582660806e-4,down
ENSG00000167074.14,TEF,1.1806003556304767,0.00998855680865203,up
ENSG00000100227.17,POLDIP3,0.5519644352249775,0.0033916232379516084,up
ENSG00000188064.9,WNT7B,0.874798560240713,0.007541417266924503,up
ENSG00000075240.16,GRAMD4,0.5087807670388577,0.11522608383169267,up
ENSG00000079974.17,RABL2B,0.7284419855402234,0.06682327960792209,up
ENSG00000002586.18,CD99,0.8776004882434687,3.824541576802188e-11,up
ENSG00000130021.13,PUDP,0.799446886506787,6.294457677047536e-5,up
ENSG00000101849.15,TBL1X,1.1428307208364696,1.811848962138052e-12,up
ENSG00000146950.12,SHROOM2,0.7200476659652154,0.021872323247305776,up
ENSG00000102048.15,ASB9,1.4218296228025076,6.690469771928425e-5,up
ENSG00000087842.10,PIR,1.3716614567461887,1.1034997234512145e-11,up
ENSG00000169239.12,CA5B,0.6076260825966702,0.0612186296373838,up
ENSG00000182287.13,AP1S2,0.602234035582058,1.3478418583297356e-6,up
ENSG00000214322.3,CBX1P2,0.8128619755357042,7.325445761979506e-15,up
ENSG00000047634.14,SCML1,-1.2874210252739464,5.77485292093537e-4,down
ENSG00000102098.17,SCML2,-1.6695222386275528,2.1630741403437898e-5,down
ENSG00000174028.6,FAM3C2,1.3189800443044049,5.539473027844347e-11,up
ENSG00000184831.13,APOO,-0.5575557395795113,9.210872538352302e-4,down
ENSG00000174010.9,KLHL15,-0.8464681265117436,0.027713277682780008,down
ENSG00000005889.15,ZFX,-0.6477840083504338,8.739580405118091e-8,down
ENSG00000237875.1,RP5-1174J21.1,-0.5940682000253824,2.610375953148013e-4,down
ENSG00000189221.9,MAOA,0.5200349131574236,0.08350127788026929,up
